date,dir,entry,exit,pnl,reason,score,bars,bear_period
2026-04-28,SHORT,4573.52621,4584.174191420274,-5626.293027493241,SL,-6.0,3,False
2026-04-29,SHORT,4537.90808,4546.119132476714,-5457.504236668391,SL,-10.0,1,False
2026-04-29,SHORT,4550.17956,4551.19269,-549.9375825314746,SESS,-10.0,0,False
2026-05-04,SHORT,4566.41537,4534.998468496826,13369.111821300445,TP2,-6.0,2,False
2026-05-11,LONG,4732.80151,4728.11338,-2533.0033052528747,TIME,6.0,6,False
2026-05-13,SHORT,4681.7604,4688.564430812296,-5602.364237573609,SL,-2.0,2,False
2026-05-14,SHORT,4688.4948,4678.5478,6727.15994837449,TIME,-6.0,6,False
2026-05-15,SHORT,4556.00994,4544.87272,8929.103509001643,TIME,-6.0,6,False
2026-05-19,SHORT,4496.45069,4502.08545,-2414.569231325117,TIME,-6.0,6,False
2026-05-19,SHORT,4499.7222,4509.511148092004,-6034.4440291486335,SL,-6.0,1,False
2026-05-22,SHORT,4511.18916,4518.2154188386085,-5853.410708273757,SL,-10.0,2,False
2026-05-22,SHORT,4515.35567,4520.01613,-4314.3156556445265,SESS,-10.0,0,False
2026-05-26,SHORT,4520.78494,4501.8199,12163.762715897472,TIME,-6.0,6,False
2026-05-29,LONG,4536.48154,4565.046481183603,15486.35138097383,TP2,2.0,1,False
2026-05-31,LONG,4542.52611,4542.45682,-2250.6763533644234,TIME,6.0,6,False
